event_date,country,platform,dau,total_iap_revenue,total_ad_revenue,arpdau,matches_started,match_per_dau,win_ratio,defeat_ratio,server_error_per_dau
2024-02-23,Dominican Republic,ios,134,2.38,0.97,0.02,616,4.6,0.5829,0.4171,0.06
2024-02-23,Venezuela,ios,153,1.24,1.47,0.02,678,4.43,0.6281,0.3719,0.07
2024-02-23,Albania,ios,345,4.26,2.27,0.02,2049,5.94,0.6019,0.3981,0.03
2024-02-23,Serbia,ios,176,0.0,2.89,0.02,1403,7.97,0.663,0.337,0.02
2024-02-23,Cyprus,ios,85,0.0,1.86,0.02,543,6.39,0.6161,0.3839,0.05
2024-02-23,Northern Mariana Islands,ios,6,0.0,0.12,0.02,38,6.33,0.6286,0.3714,0.0
2024-02-23,Armenia,ios,142,0.99,1.89,0.02,872,6.14,0.5811,0.4189,0.02
2024-02-23,Nigeria,ios,136,0.99,1.21,0.02,710,5.22,0.639,0.361,0.04
2024-02-23,Congo - Kinshasa,ios,5,0.0,0.1,0.02,28,5.6,0.72,0.28,0.0
2024-02-23,Mauritius,ios,21,0.0,0.32,0.02,116,5.52,0.625,0.375,0.1
2024-02-23,Brunei,ios,20,0.0,0.35,0.02,79,3.95,0.5278,0.4722,0.05
2024-02-23,St. Barthélemy,ios,1,0.0,0.02,0.02,0,0.0,,,0.0
2024-02-23,Panama,ios,26,0.0,0.63,0.02,118,4.54,0.7019,0.2981,0.15
2024-02-23,Monaco,ios,4,0.0,0.06,0.02,19,4.75,0.4737,0.5263,0.0
2024-02-23,Zambia,ios,2,0.0,0.04,0.02,13,6.5,0.75,0.25,1.0
2024-02-23,Burkina Faso,ios,5,0.0,0.11,0.02,10,2.0,0.5556,0.4444,0.0
2024-02-23,Estonia,ios,76,1.07,1.13,0.03,390,5.13,0.6904,0.3096,0.05
2024-02-23,Azerbaijan,ios,389,4.85,5.94,0.03,2242,5.76,0.5809,0.4191,0.02
2024-02-23,North Macedonia,ios,157,1.98,2.54,0.03,884,5.63,0.5989,0.4011,0.03
2024-02-23,Macao,ios,28,0.0,0.76,0.03,114,4.07,0.4851,0.5149,0.0
2024-02-23,Gambia,ios,5,0.0,0.14,0.03,20,4.0,0.7895,0.2105,0.0
2024-02-23,Cambodia,ios,382,12.57,3.21,0.04,1513,3.96,0.6318,0.3682,0.04
2024-02-23,Uzbekistan,ios,817,18.23,15.89,0.04,4061,4.97,0.6422,0.3578,0.07
2024-02-23,Denmark,ios,493,11.03,8.64,0.04,1818,3.69,0.5549,0.4451,0.09
2024-02-23,Georgia,ios,180,0.0,6.76,0.04,1136,6.31,0.5964,0.4036,0.08
2024-02-23,India,ios,2878,101.55,39.02,0.05,14496,5.04,0.6072,0.3928,0.03
2024-02-23,Vietnam,ios,5322,213.14,69.7,0.05,25505,4.79,0.6382,0.3618,0.03
2024-02-23,Palestine,ios,413,17.16,2.38,0.05,1667,4.04,0.5441,0.4559,0.04
2024-02-23,Kyrgyzstan,ios,217,7.93,1.96,0.05,1117,5.15,0.5812,0.4188,0.07
2024-02-23,Kazakhstan,ios,1491,46.88,22.5,0.05,7206,4.83,0.6182,0.3818,0.05
2024-02-23,Ecuador,ios,51,1.99,0.36,0.05,196,3.84,0.6746,0.3254,0.06
2024-02-23,Iraq,ios,482,23.96,4.1,0.06,1675,3.48,0.628,0.372,0.02
2024-02-23,New Zealand,ios,142,4.62,3.71,0.06,644,4.54,0.6753,0.3247,0.06
2024-02-23,Pakistan,ios,502,25.45,2.71,0.06,2196,4.37,0.6508,0.3492,0.06
2024-02-23,Moldova,ios,154,7.94,1.92,0.06,836,5.43,0.6544,0.3456,0.01
